Fly_ID,Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading,Asymmetry_l2,Asymmetry_l3p,Asymmetry_l3d,Asymmetry_lpd,Asymmetry_l3,Asymmetry_w1,Asymmetry_w2,Asymmetry_w3,Wing_area,Wing_shape,Wing_vein,Asymmetry_wing_area,Asymmetry_wing_shape,Asymmetry_wing_vein
278,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,10,3,female,1.166,1.785,0.622,1.492,2.114,2.113,0.967,1.301,1.083,1.812,0.039,0.002,0.016,0.013,0.014,0.006,0.024,0.006,1.022,2.185,2.399,0.013,0.001,0.033
279,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,10,3,male,1.051,1.519,0.506,1.358,1.864,1.862,0.878,1.154,0.976,1.772,0.019,0.0,0.007,0.007,0.009,0.01,0.012,0.001,0.817,2.12,2.683,0.005,0.034,0.014
280,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,1,1,female,1.079,1.497,0.547,1.239,1.785,1.783,0.852,1.127,0.95,1.652,0.005,0.017,0.005,0.011,0.012,0.012,0.023,0.009,0.76,2.093,2.267,0.006,0.044,0.08
281,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,1,1,male,1.015,1.46,0.513,1.248,1.761,1.759,0.814,1.07,0.928,1.734,0.007,0.009,0.035,0.043,0.042,0.028,0.032,0.021,0.716,2.161,2.434,0.042,0.023,0.026
282,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,1,2,female,1.104,1.554,0.576,1.295,1.87,1.869,0.844,1.126,0.96,1.693,0.009,0.008,0.003,0.01,0.01,0.01,0.002,0.011,0.789,2.214,2.247,0.014,0.014,0.026
283,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,1,2,male,1.017,1.434,0.508,1.234,1.743,1.742,0.784,1.066,0.853,1.713,0.011,0.005,0.006,0.002,0.002,0.012,0.013,0.011,0.683,2.222,2.427,0.011,0.031,0.036
284,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,1,3,female,1.117,1.621,0.557,1.341,1.898,1.897,0.851,1.167,0.959,1.699,0.028,0.017,0.044,0.027,0.028,0.025,0.007,0.004,0.807,2.231,2.411,0.012,0.099,0.153
285,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,1,3,male,1.021,1.429,0.508,1.233,1.741,1.739,0.79,1.066,0.871,1.702,0.04,0.003,0.01,0.013,0.013,0.014,0.01,0.003,0.687,2.201,2.43,0.007,0.055,0.005
286,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,2,1,female,1.103,1.601,0.55,1.39,1.94,1.939,0.893,1.201,0.984,1.758,0.016,0.052,0.02,0.031,0.031,0.022,0.006,0.032,0.865,2.171,2.534,0.007,0.088,0.276
287,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,2,1,male,0.992,1.435,0.542,1.209,1.751,1.751,0.823,1.097,0.897,1.765,0.012,0.008,0.036,0.027,0.027,0.005,0.003,0.014,0.72,2.128,2.231,0.015,0.02,0.099
288,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,2,2,female,1.084,1.636,0.557,1.434,1.991,1.99,0.875,1.194,0.973,1.835,0.003,0.014,0.015,0.001,0.001,0.003,0.002,0.008,0.87,2.275,2.574,0.003,0.007,0.092
289,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,2,2,male,1.038,1.453,0.54,1.215,1.753,1.753,0.822,1.092,0.898,1.688,0.009,0.005,0.005,0.001,0.003,0.022,0.047,0.015,0.72,2.132,2.251,0.021,0.053,0.03
290,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,2,3,female,1.088,1.579,0.54,1.366,1.906,1.906,0.859,1.168,0.952,1.752,0.019,0.004,0.016,0.02,0.021,0.001,0.006,0.007,0.818,2.22,2.53,0.01,0.022,0.011
291,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,2,3,male,1.017,1.457,0.512,1.273,1.785,1.782,0.818,1.079,0.913,1.751,0.012,0.009,0.003,0.006,0.006,0.01,0.002,0.026,0.729,2.179,2.49,0.006,0.034,0.05
292,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,3,1,female,1.070,1.524,0.54,1.282,1.822,1.821,0.831,1.119,0.931,1.702,0.026,0.036,0.02,0.016,0.017,0.007,0.008,0.0,0.757,2.189,2.377,0.001,0.039,0.196
293,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,3,1,male,1.000,1.442,0.53,1.215,1.745,1.743,0.827,1.084,0.914,1.742,0.019,0.021,0.04,0.019,0.02,0.006,0.008,0.003,0.721,2.108,2.296,0.013,0.009,0.167
294,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,3,2,female,1.052,1.514,0.566,1.264,1.83,1.828,0.823,1.098,0.923,1.737,0.036,0.076,0.035,0.04,0.04,0.008,0.003,0.001,0.752,2.221,2.245,0.024,0.027,0.363
295,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,3,2,male,0.970,1.349,0.471,1.21,1.68,1.678,0.814,1.047,0.897,1.729,0.041,0.023,0.029,0.052,0.052,0.026,0.019,0.036,0.683,2.061,2.571,0.043,0.002,0.064
296,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,3,3,female,1.090,1.549,0.552,1.342,1.894,1.891,0.896,1.154,1.021,1.735,0.029,0.002,0.017,0.016,0.014,0.005,0.009,0.019,0.847,2.112,2.43,0.002,0.027,0.04
297,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,3,3,male,1.043,1.483,0.539,1.259,1.797,1.797,0.798,1.06,0.914,1.723,0.02,0.011,0.049,0.06,0.059,0.007,0.006,0.006,0.716,2.253,2.337,0.03,0.054,0.043
298,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,4,1,female,1.045,1.546,0.553,1.305,1.857,1.856,0.849,1.134,0.958,1.775,0.027,0.003,0.003,0.006,0.006,0.026,0.015,0.04,0.788,2.187,2.361,0.027,0.06,0.007
299,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,4,1,male,1.031,1.471,0.516,1.285,1.801,1.8,0.812,1.07,0.927,1.746,0.014,0.022,0.002,0.024,0.025,0.003,0.014,0.005,0.73,2.218,2.491,0.007,0.039,0.102
300,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,4,2,female,1.069,1.561,0.535,1.335,1.869,1.866,0.853,1.166,0.934,1.747,0.011,0.003,0.019,0.017,0.019,0.001,0.006,0.006,0.797,2.187,2.497,0.009,0.02,0.05
301,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,4,2,male,1.016,1.38,0.472,1.228,1.7,1.699,0.795,1.06,0.872,1.672,0.003,0.016,0.022,0.006,0.004,0.002,0.01,0.002,0.675,2.137,2.603,0.003,0.0,0.135
302,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,4,3,female,1.046,1.487,0.507,1.296,1.803,1.802,0.841,1.13,0.912,1.723,0.014,0.046,0.008,0.038,0.038,0.009,0.02,0.013,0.757,2.144,2.562,0.024,0.022,0.248
303,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,4,3,male,1.051,1.43,0.502,1.219,1.721,1.72,0.799,1.053,0.901,1.636,0.009,0.003,0.025,0.021,0.021,0.006,0.013,0.009,0.687,2.152,2.43,0.003,0.042,0.064
304,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,5,1,female,1.070,1.583,0.561,1.333,1.893,1.892,0.863,1.158,0.958,1.769,0.001,0.017,0.005,0.012,0.012,0.019,0.025,0.0,0.817,2.191,2.378,0.023,0.034,0.081
305,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,5,1,male,0.931,1.367,0.464,1.183,1.647,1.645,0.79,1.048,0.857,1.767,0.015,0.007,0.03,0.037,0.036,0.032,0.028,0.027,0.65,2.083,2.552,0.041,0.039,0.026
306,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,5,2,female,1.038,1.532,0.537,1.345,1.882,1.88,0.88,1.185,0.939,1.810,0.016,0.013,0.016,0.002,0.004,0.022,0.033,0.011,0.827,2.137,2.508,0.019,0.058,0.091
307,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,5,2,male,1.033,1.455,0.537,1.253,1.789,1.788,0.807,1.053,0.915,1.732,0.034,0.026,0.048,0.023,0.022,0.001,0.008,0.009,0.721,2.217,2.336,0.008,0.03,0.202
308,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,5,3,female,1.126,1.527,0.566,1.309,1.874,1.873,0.9,1.17,0.992,1.663,0.037,0.031,0.005,0.034,0.035,0.022,0.024,0.013,0.843,2.081,2.315,0.005,0.09,0.118
309,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,5,3,male,1.040,1.507,0.544,1.257,1.801,1.8,0.827,1.113,0.917,1.730,0.023,0.03,0.005,0.025,0.024,0.017,0.012,0.033,0.745,2.175,2.312,0.025,0.016,0.137
310,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,6,1,female,1.045,1.523,0.522,1.318,1.84,1.838,0.843,1.121,0.94,1.759,0.005,0.016,0.007,0.009,0.012,0.009,0.004,0.026,0.774,2.182,2.525,0.003,0.038,0.091
311,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,6,1,male,0.961,1.4,0.465,1.233,1.698,1.698,0.783,1.042,0.87,1.767,0.013,0.012,0.015,0.028,0.027,0.016,0.001,0.01,0.665,2.168,2.651,0.024,0.01,0.036
312,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,6,2,female,1.106,1.555,0.558,1.276,1.834,1.832,0.852,1.167,0.919,1.657,0.03,0.015,0.015,0.029,0.028,0.002,0.002,0.017,0.78,2.15,2.288,0.014,0.028,0.035
313,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,6,2,male,1.060,1.468,0.542,1.26,1.802,1.801,0.801,1.057,0.909,1.700,0.03,0.036,0.002,0.034,0.033,0.007,0.019,0.005,0.721,2.251,2.327,0.007,0.061,0.158
314,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,6,3,female,1.031,1.526,0.565,1.279,1.844,1.842,0.855,1.145,0.939,1.786,0.035,0.051,0.012,0.063,0.063,0.018,0.002,0.029,0.787,2.154,2.27,0.01,0.119,0.184
315,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,6,3,male,1.008,1.392,0.474,1.257,1.732,1.732,0.771,1.022,0.869,1.717,0.009,0.024,0.039,0.015,0.015,0.017,0.011,0.008,0.667,2.248,2.656,0.009,0.069,0.217
316,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,7,1,female,1.104,1.548,0.554,1.322,1.875,1.874,0.846,1.141,0.95,1.698,0.002,0.0,0.025,0.024,0.023,0.01,0.012,0.001,0.793,2.216,2.385,0.019,0.001,0.045
317,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,7,1,male,1.063,1.416,0.502,1.237,1.738,1.734,0.86,1.103,0.953,1.631,0.024,,0.001,,,,,,0.746,,,,,
318,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,7,2,female,1.098,1.542,0.522,1.352,1.873,1.871,0.887,1.195,0.946,1.705,0.005,0.017,0.007,0.01,0.012,0.001,0.016,0.005,0.829,2.111,2.592,0.004,0.016,0.098
319,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,7,2,male,1.001,1.434,0.524,1.202,1.726,1.725,0.813,1.059,0.913,1.722,0.049,0.029,0.009,0.021,0.021,0.008,0.04,0.004,0.701,2.121,2.297,0.015,0.005,0.144
320,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,7,3,female,1.090,1.582,0.573,1.341,1.914,1.912,0.881,1.178,0.983,1.754,0.032,0.014,0.004,0.017,0.018,0.012,0.021,0.01,0.842,2.17,2.341,0.004,0.05,0.05
321,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,7,3,male,0.980,1.362,0.477,1.172,1.648,1.647,0.782,1.022,0.871,1.680,0.036,0.026,0.011,0.015,0.016,0.003,0.012,0.015,0.644,2.107,2.458,0.009,0.012,0.157
322,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,8,1,female,1.100,1.555,0.533,1.349,1.881,1.878,0.853,1.16,0.934,1.707,0.013,0.021,0.023,0.002,0.001,0.037,0.033,0.054,0.802,2.202,2.534,0.034,0.097,0.143
323,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,8,1,male,1.008,1.459,0.508,1.231,1.74,1.739,0.837,1.092,0.946,1.724,0.028,0.013,0.01,0.023,0.023,0.018,0.027,0.019,0.728,2.077,2.421,0.025,0.017,0.042
324,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,8,2,female,1.044,1.538,0.52,1.331,1.851,1.85,0.803,1.111,0.895,1.772,0.011,0.03,0.019,0.011,0.011,0.013,0.016,0.0,0.742,2.305,2.561,0.016,0.024,0.184
325,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,8,2,male,0.998,1.412,0.484,1.212,1.696,1.696,0.789,1.036,0.891,1.699,0.007,0.044,0.035,0.01,0.01,0.015,0.024,0.015,0.669,2.151,2.51,0.009,0.054,0.3
326,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,8,3,female,1.104,1.612,0.548,1.383,1.931,1.93,0.86,1.181,0.955,1.748,0.009,0.014,0.01,0.004,0.003,0.024,0.018,0.024,0.83,2.244,2.524,0.022,0.066,0.083
327,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,8,3,male,0.993,1.349,0.473,1.202,1.675,1.674,0.812,1.041,0.899,1.686,0.008,0.011,0.014,0.026,0.027,0.019,0.013,0.019,0.679,2.063,2.544,0.005,0.082,0.03
328,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,9,1,female,1.103,1.557,0.558,1.319,1.876,1.875,0.872,1.153,0.98,1.700,0.025,0.007,0.017,0.009,0.01,0.0,0.016,0.012,0.818,2.15,2.365,0.004,0.011,0.06
329,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,9,1,male,1.038,1.458,0.523,1.255,1.777,1.775,0.831,1.072,0.938,1.709,0.027,0.012,0.009,0.003,0.002,0.001,0.012,0.008,0.737,2.137,2.399,0.002,0.0,0.072
330,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,9,2,female,1.079,1.607,0.56,1.354,1.913,1.91,0.864,1.154,0.995,1.770,0.012,0.007,0.017,0.011,0.011,0.008,0.001,0.002,0.825,2.211,2.419,0.003,0.033,0.061
331,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,9,2,male,0.982,1.415,0.531,1.161,1.693,1.69,0.806,1.051,0.904,1.721,0.002,0.002,0.004,0.001,0.002,0.007,0.003,0.0,0.681,2.098,2.186,0.007,0.016,0.016
332,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,9,3,female,1.126,1.613,0.595,1.31,1.905,1.905,0.892,1.176,1.009,1.692,0.021,0.007,0.002,0.008,0.008,0.012,0.023,0.015,0.85,2.136,2.2,0.015,0.02,0.023
333,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,9,3,male,1.073,1.425,0.524,1.182,1.706,1.705,0.804,1.058,0.897,1.589,0.004,0.011,0.006,0.017,0.018,0.021,0.031,0.003,0.685,2.122,2.258,0.025,0.033,0.036
334,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,10,1,female,1.098,1.554,0.547,1.314,1.86,1.86,0.839,1.155,0.917,1.694,0.036,0.007,0.015,0.022,0.021,0.001,0.021,0.012,0.78,2.218,2.403,0.01,0.022,0.003
335,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,10,1,male,1.033,1.45,0.508,1.257,1.765,1.764,0.855,1.121,0.938,1.707,0.018,0.007,0.002,0.005,0.005,0.025,0.025,0.015,0.753,2.064,2.472,0.02,0.066,0.038
336,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,10,2,female,1.122,1.591,0.565,1.32,1.885,1.884,0.887,1.17,0.997,1.680,0.016,0.008,0.03,0.022,0.022,0.023,0.001,0.04,0.835,2.125,2.337,0.031,0.03,0.086
337,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,10,2,male,1.035,1.466,0.557,1.201,1.758,1.757,0.817,1.069,0.933,1.698,0.0,0.001,0.012,0.014,0.014,0.01,0.004,0.012,0.718,2.151,2.158,0.015,0.009,0.018
338,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,10,3,female,1.104,1.625,0.565,1.396,1.96,1.959,0.887,1.17,1.015,1.775,0.004,0.022,0.025,0.002,0.002,0.004,0.006,0.003,0.869,2.209,2.471,0.005,0.008,0.14
339,D.aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,30,10,3,male,1.018,1.48,0.513,1.252,1.765,1.765,0.815,1.075,0.916,1.734,0.009,0.016,0.041,0.025,0.025,0.005,0.0,0.012,0.719,2.166,2.441,0.006,0.044,0.156
340,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,1,1,female,1.153,1.823,0.601,1.547,2.148,2.147,0.965,1.313,1.121,1.862,0.036,0.003,0.021,0.025,0.024,0.012,0.028,0.03,1.036,2.225,2.575,0.001,0.053,0.022
341,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,1,1,male,1.089,1.692,0.571,1.471,2.042,2.04,0.921,1.233,1.045,1.874,0.017,0.013,0.009,0.022,0.023,0.022,0.026,0.018,0.94,2.216,2.573,0.033,0.028,0.043
342,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,1,2,female,1.192,1.903,0.636,1.648,2.284,2.283,1.038,1.402,1.173,1.915,0.016,0.004,0.017,0.019,0.02,0.009,0.005,0.01,1.184,2.201,2.59,0.0,0.038,0.01
343,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,1,2,male,1.056,1.734,0.566,1.528,2.094,2.093,0.978,1.291,1.112,1.983,0.004,0.012,0.026,0.014,0.016,0.001,0.005,0.003,1.023,2.141,2.7,0.009,0.014,0.103
344,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,1,3,female,1.196,1.844,0.632,1.585,2.217,2.215,1.002,1.351,1.136,1.851,0.014,0.016,0.014,0.002,0.003,0.013,0.013,0.042,1.109,2.211,2.508,0.013,0.032,0.086
345,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,1,3,male,1.124,1.773,0.574,1.538,2.112,2.111,0.944,1.273,1.095,1.878,0.03,0.029,0.042,0.013,0.013,0.004,0.026,0.01,0.996,2.236,2.684,0.01,0.004,0.209
346,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,2,1,female,1.182,1.836,0.606,1.615,2.221,2.221,1.037,1.385,1.167,1.878,0.022,0.002,0.036,0.038,0.037,0.004,0.014,0.012,1.151,2.141,2.665,0.024,0.027,0.051
347,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,2,1,male,1.115,1.757,0.601,1.504,2.104,2.103,0.977,1.32,1.077,1.885,0.01,0.029,0.01,0.04,0.041,0.002,0.005,0.001,1.027,2.152,2.506,0.022,0.038,0.104
348,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,2,2,female,1.217,1.982,0.668,1.655,2.322,2.322,1.06,1.434,1.22,1.907,0.03,0.005,0.017,0.022,0.022,0.013,0.004,0.01,1.23,2.192,2.479,0.003,0.048,0.007
349,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,2,2,male,1.147,1.738,0.56,1.549,2.108,2.107,0.974,1.293,1.097,1.837,0.056,0.027,0.015,0.042,0.042,0.005,0.019,0.011,1.026,2.164,2.769,0.026,0.032,0.107
350,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,2,3,female,1.221,1.91,0.675,1.587,2.262,2.262,1.051,1.413,1.203,1.852,0.001,0.004,0.012,0.008,0.008,0.021,0.007,0.022,1.189,2.151,2.351,0.028,0.035,0.032
351,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,2,3,male,1.133,1.738,0.603,1.522,2.125,2.123,0.996,1.325,1.09,1.873,0.001,0.007,0.029,0.036,0.039,0.007,0.022,0.001,1.056,2.132,2.521,0.012,0.054,0.019
352,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,3,1,female,1.227,1.838,0.593,1.586,2.178,2.177,1.015,1.369,1.136,1.775,0.002,0.018,0.041,0.023,0.022,0.003,0.014,0.009,1.104,2.146,2.675,0.014,0.015,0.15
353,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,3,1,male,1.154,1.871,0.621,1.551,2.171,2.17,0.972,1.324,1.143,1.880,0.005,0.021,0.023,0.002,0.002,0.008,0.022,0.008,1.055,2.233,2.5,0.01,0.016,0.122
354,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,3,2,male,1.123,1.709,0.564,1.496,2.059,2.058,0.951,1.243,1.095,1.833,0.021,0.012,0.037,0.049,0.047,0.006,0.013,0.014,0.978,2.164,2.652,0.016,0.063,0.009
355,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,3,3,male,1.172,1.771,0.587,1.527,2.114,2.114,0.997,1.299,1.136,1.804,0.014,0.037,0.017,0.054,0.053,0.015,0.025,0.001,1.054,2.119,2.6,0.042,0.021,0.135
356,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,4,1,female,1.211,1.959,0.653,1.644,2.297,2.297,1.023,1.401,1.18,1.897,0.007,0.026,0.007,0.018,0.019,0.019,0.013,0.016,1.174,2.246,2.518,0.032,0.023,0.111
357,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,4,1,male,1.164,1.773,0.603,1.492,2.095,2.095,0.987,1.304,1.125,1.799,0.007,0.008,0.001,0.007,0.007,0.032,0.049,0.002,1.034,2.123,2.474,0.037,0.062,0.034
358,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,4,2,female,1.228,1.892,0.64,1.631,2.27,2.268,1.013,1.39,1.14,1.847,0.039,0.001,0.009,0.008,0.007,0.002,0.013,0.011,1.148,2.238,2.55,0.001,0.011,0.018
359,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,4,2,male,1.095,1.722,0.566,1.493,2.059,2.059,0.958,1.268,1.089,1.881,0.031,0.016,0.02,0.036,0.036,0.003,0.005,0.011,0.986,2.15,2.638,0.014,0.044,0.039
360,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,4,3,female,1.252,1.982,0.681,1.66,2.341,2.34,1.075,1.401,1.282,1.870,0.053,0.038,0.023,0.06,0.062,0.066,0.054,0.062,1.258,2.178,2.438,0.111,0.076,0.102
361,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,4,3,male,1.148,1.82,0.625,1.558,2.183,2.183,1.014,1.324,1.172,1.902,0.004,0.017,0.028,0.011,0.011,0.016,0.039,0.012,1.107,2.152,2.496,0.023,0.023,0.113
362,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,5,1,female,1.214,1.89,0.668,1.578,2.246,2.245,1.018,1.369,1.161,1.849,0.039,0.026,0.007,0.019,0.021,0.021,0.029,0.01,1.142,2.206,2.363,0.013,0.066,0.102
363,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,5,1,male,1.106,1.709,0.563,1.501,2.064,2.064,0.943,1.293,1.038,1.866,0.057,0.02,0.004,0.024,0.025,0.008,0.021,0.009,0.973,2.188,2.667,0.004,0.045,0.088
364,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,5,2,female,1.222,1.944,0.662,1.626,2.287,2.287,1.028,1.407,1.179,1.871,0.035,0.009,0.027,0.018,0.019,0.01,0.006,0.053,1.175,2.224,2.458,0.021,0.003,0.074
365,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,5,2,male,1.166,1.771,0.595,1.507,2.102,2.101,0.965,1.28,1.112,1.802,0.016,0.009,0.001,0.008,0.007,0.01,0.023,0.001,1.014,2.178,2.53,0.014,0.015,0.04
366,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,5,3,female,1.228,1.882,0.645,1.603,2.248,2.245,0.994,1.336,1.148,1.828,0.043,0.015,0.022,0.037,0.038,0.003,0.01,0.002,1.115,2.26,2.487,0.022,0.031,0.024
367,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,5,3,male,1.098,1.767,0.592,1.523,2.115,2.114,0.964,1.255,1.129,1.925,0.005,0.014,0.011,0.003,0.003,0.013,0.029,0.0,1.018,2.194,2.572,0.012,0.033,0.079
368,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,6,1,female,1.228,1.913,0.656,1.648,2.304,2.302,1.011,1.357,1.176,1.874,0.019,0.007,0.005,0.002,0.004,0.001,0.014,0.033,1.163,2.278,2.515,0.003,0.002,0.034
369,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,6,1,male,1.108,1.829,0.587,1.56,2.146,2.145,0.95,1.309,1.11,1.935,0.018,0.011,0.001,0.012,0.011,0.025,0.02,0.005,1.018,2.259,2.659,0.032,0.048,0.048
370,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,6,2,female,1.182,1.898,0.64,1.679,2.319,2.316,1.058,1.423,1.174,1.958,0.045,0.015,0.079,0.093,0.093,0.002,0.006,0.037,1.225,2.189,2.624,0.047,0.092,0.062
371,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,6,2,male,1.131,1.739,0.601,1.489,2.091,2.089,0.996,1.328,1.109,1.847,0.006,0.003,0.0,0.003,0.004,0.003,0.016,0.006,1.041,2.096,2.475,0.001,0.01,0.012
372,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,6,3,female,1.225,1.889,0.609,1.651,2.261,2.26,1.043,1.381,1.198,1.844,0.036,0.013,0.042,0.055,0.056,0.018,0.006,0.052,1.179,2.167,2.709,0.05,0.016,0.011
373,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,6,3,male,1.150,1.814,0.576,1.557,2.133,2.132,0.987,1.328,1.122,1.854,0.009,0.002,0.003,0.001,0.002,0.01,0.001,0.014,1.052,2.16,2.702,0.012,0.02,0.015
374,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,7,1,female,1.197,1.851,0.623,1.583,2.206,2.204,1.01,1.354,1.148,1.842,0.005,0.017,0.015,0.001,0.0,0.023,0.037,0.016,1.112,2.184,2.543,0.025,0.05,0.094
375,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,7,1,male,1.114,1.762,0.618,1.497,2.115,2.114,0.951,1.283,1.087,1.898,0.054,0.034,0.012,0.023,0.024,0.008,0.018,0.006,1.005,2.223,2.424,0.003,0.044,0.153
376,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,7,2,female,1.231,1.908,0.656,1.627,2.282,2.281,1.037,1.396,1.183,1.852,0.04,0.021,0.01,0.012,0.012,0.004,0.015,0.008,1.183,2.2,2.483,0.002,0.02,0.095
377,D.aldrichi,Grandchester,-27.68,152.45,1994,1994,20,7,2,male,1.147,1.821,0.603,1.532,2.136,2.135,0.964,1.297,1.11,1.861,0.018,0.009,0.038,0.029,0.03,0.019,0.006,0.01,1.029,2.216,2.539,0.035,0.013,0.101
